Date,Region,Product Line,Product,Quantity Sold,Unit Price,Total Sales
01-01-2023,Asia Pacific,Smartphones,Model A,42,213.5400656,8968.682754
01-01-2023,Asia Pacific,Smartphones,Model B,29,293.9169256,8523.590841
01-01-2023,Asia Pacific,Smartphones,Model C,26,189.9508267,4938.721494
01-01-2023,Asia Pacific,Smartphones,Model D,10,278.9654701,2789.654701
01-01-2023,Asia Pacific,Laptops,Laptop A,23,1227.271996,28227.2559
01-01-2023,Asia Pacific,Laptops,Laptop B,24,588.4925021,14123.82005
01-01-2023,Asia Pacific,Laptops,Laptop C,199,825.3303308,164240.7358
01-01-2023,Asia Pacific,Tablets,Tablet A,84,648.3920661,54464.93355
01-01-2023,Asia Pacific,Tablets,Tablet B,57,552.0506994,31466.88987
01-01-2023,Asia Pacific,Tablets,Tablet C,93,368.5607058,34276.14564
01-01-2023,Asia Pacific,Tablets,Tablet D,45,377.7641034,16999.38465
01-01-2023,Asia Pacific,Wearables,Smartwatch A,320,61.18259655,19578.4309
01-01-2023,Asia Pacific,Wearables,Smartwatch B,346,113.5102221,39274.53685
01-01-2023,Asia Pacific,Wearables,Fitness Tracker,148,79.80735223,11811.48813
01-01-2023,Latin America,Smartphones,Model A,24,102.8159645,2467.583149
01-01-2023,Latin America,Smartphones,Model B,17,242.2683905,4118.562639
01-01-2023,Latin America,Smartphones,Model C,35,254.2540693,8898.892427
01-01-2023,Latin America,Smartphones,Model D,5,285.2601757,1426.300879
01-01-2023,Latin America,Laptops,Laptop A,50,1414.959676,70747.98378
01-01-2023,Latin America,Laptops,Laptop B,81,949.4506741,76905.50461
01-01-2023,Latin America,Laptops,Laptop C,42,563.5583503,23669.45071
01-01-2023,Latin America,Tablets,Tablet A,27,601.3047516,16235.22829
01-01-2023,Latin America,Tablets,Tablet B,41,637.763707,26148.31199
01-01-2023,Latin America,Tablets,Tablet C,90,732.3276455,65909.4881
01-01-2023,Latin America,Tablets,Tablet D,69,429.7561249,29653.17261
01-01-2023,Latin America,Wearables,Smartwatch A,450,156.9867181,70644.02314
01-01-2023,Latin America,Wearables,Smartwatch B,276,158.2594282,43679.60218
01-01-2023,Latin America,Wearables,Fitness Tracker,274,88.41024841,24224.40807
01-01-2023,Middle East & Africa,Smartphones,Model A,27,204.5465659,5522.757279
01-01-2023,Middle East & Africa,Smartphones,Model B,15,122.1781642,1832.672462
01-01-2023,Middle East & Africa,Smartphones,Model C,13,140.3438405,1824.469926
01-01-2023,Middle East & Africa,Smartphones,Model D,32,227.2820823,7273.026632
01-01-2023,Middle East & Africa,Laptops,Laptop A,61,1063.275572,64859.80989
01-01-2023,Middle East & Africa,Laptops,Laptop B,141,1407.566474,198466.8728
01-01-2023,Middle East & Africa,Laptops,Laptop C,160,1104.417379,176706.7807
01-01-2023,Middle East & Africa,Tablets,Tablet A,19,653.3306831,12413.28298
01-01-2023,Middle East & Africa,Tablets,Tablet B,40,765.7121423,30628.48569
01-01-2023,Middle East & Africa,Tablets,Tablet C,75,373.8508717,28038.81538
01-01-2023,Middle East & Africa,Tablets,Tablet D,90,728.2807034,65545.26331
01-01-2023,Middle East & Africa,Wearables,Smartwatch A,189,171.2180569,32360.21276
01-01-2023,Middle East & Africa,Wearables,Smartwatch B,460,65.82413897,30279.10393
01-01-2023,Middle East & Africa,Wearables,Fitness Tracker,303,170.5508115,51676.8959
02-01-2023,North America,Smartphones,Model A,44,183.3019896,8065.287541
02-01-2023,North America,Smartphones,Model B,11,164.8690042,1813.559046
02-01-2023,North America,Smartphones,Model C,28,171.2595676,4795.267893
02-01-2023,North America,Smartphones,Model D,33,154.4264499,5096.072846
02-01-2023,North America,Laptops,Laptop A,36,927.1077886,33375.88039
02-01-2023,North America,Laptops,Laptop B,125,852.5688563,106571.107
02-01-2023,North America,Laptops,Laptop C,12,506.9521305,6083.425566
02-01-2023,North America,Tablets,Tablet A,76,520.4536516,39554.47752
02-01-2023,North America,Tablets,Tablet B,66,333.2646863,21995.46929
02-01-2023,North America,Tablets,Tablet C,55,361.6474003,19890.60702
02-01-2023,North America,Tablets,Tablet D,28,765.7458223,21440.88303
02-01-2023,North America,Wearables,Smartwatch A,393,82.81463294,32546.15074
02-01-2023,North America,Wearables,Smartwatch B,491,155.4528438,76327.34632
02-01-2023,North America,Wearables,Fitness Tracker,132,59.73383707,7884.866493
02-01-2023,Europe,Smartphones,Model A,12,150.3564592,1804.27751
02-01-2023,Europe,Smartphones,Model B,2,242.454118,484.908236
02-01-2023,Europe,Smartphones,Model C,37,156.9680989,5807.819658
02-01-2023,Europe,Smartphones,Model D,17,153.3562029,2607.055449
02-01-2023,Europe,Laptops,Laptop A,11,1002.679023,11029.46926
02-01-2023,Europe,Laptops,Laptop B,63,533.0507329,33582.19617
02-01-2023,Europe,Laptops,Laptop C,138,739.5618907,102059.5409
02-01-2023,Europe,Tablets,Tablet A,6,518.56075,3111.3645
02-01-2023,Europe,Tablets,Tablet B,94,791.3902725,74390.68561
02-01-2023,Europe,Tablets,Tablet C,36,555.6180343,20002.24924
02-01-2023,Europe,Tablets,Tablet D,59,656.9717692,38761.33438
02-01-2023,Europe,Wearables,Smartwatch A,142,86.32399074,12258.00669
02-01-2023,Europe,Wearables,Smartwatch B,313,105.1674699,32917.41808
02-01-2023,Europe,Wearables,Fitness Tracker,391,197.5134711,77227.76721
02-01-2023,Asia Pacific,Smartphones,Model A,22,207.1549368,4557.40861
02-01-2023,Asia Pacific,Smartphones,Model B,48,259.669025,12464.1132
02-01-2023,Asia Pacific,Smartphones,Model C,9,164.156013,1477.404117
02-01-2023,Asia Pacific,Smartphones,Model D,6,239.1625614,1434.975368
02-01-2023,Asia Pacific,Laptops,Laptop A,12,1090.892943,13090.71532
02-01-2023,Asia Pacific,Laptops,Laptop B,196,720.2410476,141167.2453
02-01-2023,Asia Pacific,Laptops,Laptop C,99,1012.093058,100197.2128
02-01-2023,Asia Pacific,Tablets,Tablet A,23,409.1995924,9411.590625
02-01-2023,Asia Pacific,Tablets,Tablet B,75,304.6198574,22846.48931
02-01-2023,Asia Pacific,Tablets,Tablet C,37,438.5432127,16226.09887
02-01-2023,Asia Pacific,Tablets,Tablet D,43,762.0379932,32767.63371
02-01-2023,Asia Pacific,Wearables,Smartwatch A,148,151.3535176,22400.3206
02-01-2023,Asia Pacific,Wearables,Smartwatch B,460,67.02102819,30829.67297
02-01-2023,Asia Pacific,Wearables,Fitness Tracker,170,131.2171961,22306.92333
02-01-2023,Latin America,Smartphones,Model A,42,151.5883255,6366.709673
02-01-2023,Latin America,Smartphones,Model B,16,263.44444,4215.111041
02-01-2023,Latin America,Smartphones,Model C,49,148.3704582,7270.152451
02-01-2023,Latin America,Smartphones,Model D,48,293.0838703,14068.02577
02-01-2023,Latin America,Laptops,Laptop A,46,1382.636343,63601.27179
02-01-2023,Latin America,Laptops,Laptop B,18,778.8713526,14019.68435
02-01-2023,Latin America,Laptops,Laptop C,156,1225.955679,191249.0859
02-01-2023,Latin America,Tablets,Tablet A,7,713.7945751,4996.562026
02-01-2023,Latin America,Tablets,Tablet B,58,667.9253275,38739.669
02-01-2023,Latin America,Tablets,Tablet C,28,710.5570693,19895.59794
02-01-2023,Latin America,Tablets,Tablet D,76,671.2043907,51011.53369
02-01-2023,Latin America,Wearables,Smartwatch A,123,140.9643589,17338.61615
02-01-2023,Latin America,Wearables,Smartwatch B,246,105.842415,26037.23409
02-01-2023,Latin America,Wearables,Fitness Tracker,492,149.5252654,73566.43056
02-01-2023,Middle East & Africa,Smartphones,Model A,29,156.7841949,4546.741653
02-01-2023,Middle East & Africa,Smartphones,Model B,46,209.7467579,9648.350862
02-01-2023,Middle East & Africa,Smartphones,Model C,35,230.3922519,8063.728817
02-01-2023,Middle East & Africa,Smartphones,Model D,41,135.1850505,5542.587072
02-01-2023,Middle East & Africa,Laptops,Laptop A,77,737.2490875,56768.17974
02-01-2023,Middle East & Africa,Laptops,Laptop B,30,678.8227092,20364.68128
02-01-2023,Middle East & Africa,Laptops,Laptop C,137,1244.170523,170451.3617
02-01-2023,Middle East & Africa,Tablets,Tablet A,71,594.5677354,42214.30921
02-01-2023,Middle East & Africa,Tablets,Tablet B,37,525.5241383,19444.39312
02-01-2023,Middle East & Africa,Tablets,Tablet C,63,420.6294818,26499.65736
02-01-2023,Middle East & Africa,Tablets,Tablet D,26,346.393786,9006.238437
02-01-2023,Middle East & Africa,Wearables,Smartwatch A,57,196.8339287,11219.53394
02-01-2023,Middle East & Africa,Wearables,Smartwatch B,70,183.8069833,12866.48883
02-01-2023,Middle East & Africa,Wearables,Fitness Tracker,302,115.1591548,34778.06476
03-01-2023,North America,Smartphones,Model A,21,200.5274186,4211.075791
03-01-2023,North America,Smartphones,Model B,28,233.7848119,6545.974734
03-01-2023,North America,Smartphones,Model C,33,139.0485976,4588.603719
03-01-2023,North America,Smartphones,Model D,48,156.1544725,7495.414679
03-01-2023,North America,Laptops,Laptop A,44,1268.554014,55816.37663
03-01-2023,North America,Laptops,Laptop B,26,1494.550511,38858.31328
03-01-2023,North America,Laptops,Laptop C,167,1453.928577,242806.0724
03-01-2023,North America,Tablets,Tablet A,10,422.0952202,4220.952202
03-01-2023,North America,Tablets,Tablet B,41,756.9911376,31036.63664
03-01-2023,North America,Tablets,Tablet C,50,779.9928914,38999.64457
03-01-2023,North America,Tablets,Tablet D,64,711.8056733,45555.56309
03-01-2023,North America,Wearables,Smartwatch A,210,95.85455289,20129.45611
03-01-2023,North America,Wearables,Smartwatch B,435,177.6705007,77286.66782
03-01-2023,North America,Wearables,Fitness Tracker,275,122.7919811,33767.79481
03-01-2023,Europe,Smartphones,Model A,18,211.3602525,3804.484545
03-01-2023,Europe,Smartphones,Model B,31,268.8426281,8334.121473
03-01-2023,Europe,Smartphones,Model C,3,214.012234,642.0367021
03-01-2023,Europe,Smartphones,Model D,24,141.7837435,3402.809845
03-01-2023,Europe,Laptops,Laptop A,184,1490.05385,274169.9084
03-01-2023,Europe,Laptops,Laptop B,136,1018.329652,138492.8327
03-01-2023,Europe,Laptops,Laptop C,139,822.5507642,114334.5562
03-01-2023,Europe,Tablets,Tablet A,37,281.9727989,10432.99356
03-01-2023,Europe,Tablets,Tablet B,52,531.6919861,27647.98328
03-01-2023,Europe,Tablets,Tablet C,46,685.6166933,31538.36789
03-01-2023,Europe,Tablets,Tablet D,54,720.2433911,38893.14312
03-01-2023,Europe,Wearables,Smartwatch A,32,62.23912706,1991.652066
03-01-2023,Europe,Wearables,Smartwatch B,410,125.2274442,51343.25212
03-01-2023,Europe,Wearables,Fitness Tracker,192,79.14109303,15195.08986
03-01-2023,Asia Pacific,Smartphones,Model A,8,240.3933755,1923.147004
03-01-2023,Asia Pacific,Smartphones,Model B,16,110.1537062,1762.459299
03-01-2023,Asia Pacific,Smartphones,Model C,23,105.5233544,2427.037151
03-01-2023,Asia Pacific,Smartphones,Model D,34,118.796388,4039.077191
03-01-2023,Asia Pacific,Laptops,Laptop A,95,828.1526675,78674.50341
03-01-2023,Asia Pacific,Laptops,Laptop B,195,1042.644635,203315.7038
03-01-2023,Asia Pacific,Laptops,Laptop C,134,1338.933502,179417.0893
03-01-2023,Asia Pacific,Tablets,Tablet A,62,218.30015,13534.6093
03-01-2023,Asia Pacific,Tablets,Tablet B,56,223.3008407,12504.84708
03-01-2023,Asia Pacific,Tablets,Tablet C,19,416.1143848,7906.173312
03-01-2023,Asia Pacific,Tablets,Tablet D,64,395.9907451,25343.40768
03-01-2023,Asia Pacific,Wearables,Smartwatch A,283,165.499033,46836.22633
03-01-2023,Asia Pacific,Wearables,Smartwatch B,127,143.4335714,18216.06356
03-01-2023,Asia Pacific,Wearables,Fitness Tracker,215,176.3034613,37905.24417
03-01-2023,Latin America,Smartphones,Model A,32,206.2709263,6600.669642
03-01-2023,Latin America,Smartphones,Model B,47,239.9024422,11275.41478
03-01-2023,Latin America,Smartphones,Model C,40,245.2182667,9808.73067
03-01-2023,Latin America,Smartphones,Model D,13,293.9073734,3820.795854
03-01-2023,Latin America,Laptops,Laptop A,115,822.9564729,94639.99439
03-01-2023,Latin America,Laptops,Laptop B,154,898.8209014,138418.4188
03-01-2023,Latin America,Laptops,Laptop C,28,938.9714207,26291.19978
03-01-2023,Latin America,Tablets,Tablet A,59,350.5163164,20680.46267
03-01-2023,Latin America,Tablets,Tablet B,94,777.5890488,73093.37059
03-01-2023,Latin America,Tablets,Tablet C,27,456.988685,12338.69449
03-01-2023,Latin America,Tablets,Tablet D,16,445.3717666,7125.948266
03-01-2023,Latin America,Wearables,Smartwatch A,77,187.2820591,14420.71855
03-01-2023,Latin America,Wearables,Smartwatch B,258,87.53643472,22584.40016
03-01-2023,Latin America,Wearables,Fitness Tracker,145,64.08099351,9291.744059
03-01-2023,Middle East & Africa,Smartphones,Model A,25,232.0394753,5800.986884
03-01-2023,Middle East & Africa,Smartphones,Model B,1,290.9730561,290.9730561
03-01-2023,Middle East & Africa,Smartphones,Model C,39,231.4222657,9025.468362
03-01-2023,Middle East & Africa,Smartphones,Model D,5,222.3441492,1111.720746
03-01-2023,Middle East & Africa,Laptops,Laptop A,85,1066.03721,90613.16289
03-01-2023,Middle East & Africa,Laptops,Laptop B,188,1257.84611,236475.0688
03-01-2023,Middle East & Africa,Laptops,Laptop C,194,841.8796667,163324.6553
03-01-2023,Middle East & Africa,Tablets,Tablet A,96,227.6015852,21849.75218
03-01-2023,Middle East & Africa,Tablets,Tablet B,98,713.2763504,69901.08234
03-01-2023,Middle East & Africa,Tablets,Tablet C,73,484.5042975,35368.81371
03-01-2023,Middle East & Africa,Tablets,Tablet D,94,658.0186538,61853.75346
03-01-2023,Middle East & Africa,Wearables,Smartwatch A,360,121.0207656,43567.47562
03-01-2023,Middle East & Africa,Wearables,Smartwatch B,308,119.7010719,36867.93016
03-01-2023,Middle East & Africa,Wearables,Fitness Tracker,376,109.7757102,41275.66702
04-01-2023,North America,Smartphones,Model A,10,289.8291463,2898.291463
04-01-2023,North America,Smartphones,Model B,36,109.060802,3926.18887
04-01-2023,North America,Smartphones,Model C,31,103.0609081,3194.88815
04-01-2023,North America,Smartphones,Model D,19,200.6272517,3811.917783
04-01-2023,North America,Laptops,Laptop A,10,1039.377448,10393.77448
04-01-2023,North America,Laptops,Laptop B,13,1115.851164,14506.06514
04-01-2023,North America,Laptops,Laptop C,89,1142.419278,101675.3158
04-01-2023,North America,Tablets,Tablet A,96,551.4653488,52940.67348
04-01-2023,North America,Tablets,Tablet B,95,680.5695768,64654.1098
04-01-2023,North America,Tablets,Tablet C,16,432.9019557,6926.431292
04-01-2023,North America,Tablets,Tablet D,37,474.9517343,17573.21417
04-01-2023,North America,Wearables,Smartwatch A,198,173.0959214,34272.99243
04-01-2023,North America,Wearables,Smartwatch B,287,107.9153957,30971.71856
04-01-2023,North America,Wearables,Fitness Tracker,436,147.7227158,64407.10408
04-01-2023,Europe,Smartphones,Model A,43,139.158227,5983.803759
04-01-2023,Europe,Smartphones,Model B,13,142.9178239,1857.931711
04-01-2023,Europe,Smartphones,Model C,46,103.6443651,4767.640796
04-01-2023,Europe,Smartphones,Model D,35,167.310843,5855.879504
04-01-2023,Europe,Laptops,Laptop A,99,818.9756303,81078.5874
04-01-2023,Europe,Laptops,Laptop B,163,1181.613669,192603.028
04-01-2023,Europe,Laptops,Laptop C,171,760.6945282,130078.7643
04-01-2023,Europe,Tablets,Tablet A,11,270.8988966,2979.887862
04-01-2023,Europe,Tablets,Tablet B,79,726.4832081,57392.17344
04-01-2023,Europe,Tablets,Tablet C,40,450.767619,18030.70476
04-01-2023,Europe,Tablets,Tablet D,40,306.4637263,12258.54905
04-01-2023,Europe,Wearables,Smartwatch A,476,135.2780426,64392.34826
04-01-2023,Europe,Wearables,Smartwatch B,246,198.5757713,48849.63974
04-01-2023,Europe,Wearables,Fitness Tracker,55,105.8027129,5819.149208
04-01-2023,Asia Pacific,Smartphones,Model A,39,216.1088025,8428.243296
04-01-2023,Asia Pacific,Smartphones,Model B,23,286.1514651,6581.483698
04-01-2023,Asia Pacific,Smartphones,Model C,37,147.719372,5465.616762
04-01-2023,Asia Pacific,Smartphones,Model D,13,247.9817521,3223.762777
04-01-2023,Asia Pacific,Laptops,Laptop A,108,603.1238688,65137.37783
04-01-2023,Asia Pacific,Laptops,Laptop B,26,1034.327474,26892.51431
04-01-2023,Asia Pacific,Laptops,Laptop C,93,1326.457466,123360.5443
04-01-2023,Asia Pacific,Tablets,Tablet A,90,378.5811047,34072.29942
04-01-2023,Asia Pacific,Tablets,Tablet B,23,433.5210072,9970.983167
04-01-2023,Asia Pacific,Tablets,Tablet C,16,775.1248981,12401.99837
04-01-2023,Asia Pacific,Tablets,Tablet D,23,254.7720061,5859.75614
04-01-2023,Asia Pacific,Wearables,Smartwatch A,474,193.5201328,91728.54293
04-01-2023,Asia Pacific,Wearables,Smartwatch B,242,192.591072,46607.03943
04-01-2023,Asia Pacific,Wearables,Fitness Tracker,358,123.9538487,44375.47782
04-01-2023,Latin America,Smartphones,Model A,16,189.6891044,3035.02567
04-01-2023,Latin America,Smartphones,Model B,35,220.4881852,7717.086481
04-01-2023,Latin America,Smartphones,Model C,21,250.4749059,5259.973024
04-01-2023,Latin America,Smartphones,Model D,23,256.2592101,5893.961832
04-01-2023,Latin America,Laptops,Laptop A,48,591.206103,28377.89295
04-01-2023,Latin America,Laptops,Laptop B,51,1474.248209,75186.65864
04-01-2023,Latin America,Laptops,Laptop C,151,1049.528882,158478.8612
04-01-2023,Latin America,Tablets,Tablet A,9,642.2213341,5779.992007
04-01-2023,Latin America,Tablets,Tablet B,97,410.5490075,39823.25373
04-01-2023,Latin America,Tablets,Tablet C,22,781.1911664,17186.20566
04-01-2023,Latin America,Tablets,Tablet D,13,656.906379,8539.782927
04-01-2023,Latin America,Wearables,Smartwatch A,420,65.16840142,27370.7286
04-01-2023,Latin America,Wearables,Smartwatch B,26,113.9137213,2961.756753
04-01-2023,Latin America,Wearables,Fitness Tracker,187,60.91445095,11391.00233
04-01-2023,Middle East & Africa,Smartphones,Model A,27,241.2484454,6513.708027
04-01-2023,Middle East & Africa,Smartphones,Model B,5,202.6652337,1013.326169
04-01-2023,Middle East & Africa,Smartphones,Model C,38,297.3279157,11298.4608
04-01-2023,Middle East & Africa,Smartphones,Model D,48,272.6277044,13086.12981
04-01-2023,Middle East & Africa,Laptops,Laptop A,95,1312.799567,124715.9589
04-01-2023,Middle East & Africa,Laptops,Laptop B,80,1486.001064,118880.0851
04-01-2023,Middle East & Africa,Laptops,Laptop C,141,850.2182467,119880.7728
04-01-2023,Middle East & Africa,Tablets,Tablet A,35,489.0001928,17115.00675
04-01-2023,Middle East & Africa,Tablets,Tablet B,58,623.0506186,36136.93588
04-01-2023,Middle East & Africa,Tablets,Tablet C,78,743.8126311,58017.38522
04-01-2023,Middle East & Africa,Tablets,Tablet D,43,460.6711067,19808.85759
04-01-2023,Middle East & Africa,Wearables,Smartwatch A,192,51.70304672,9926.984969
04-01-2023,Middle East & Africa,Wearables,Smartwatch B,239,135.7209538,32437.30795
04-01-2023,Middle East & Africa,Wearables,Fitness Tracker,167,67.82268744,11326.3888
05-01-2023,North America,Smartphones,Model A,41,248.8423314,10202.53559
05-01-2023,North America,Smartphones,Model B,3,216.673753,650.0212591
05-01-2023,North America,Smartphones,Model C,49,116.5782643,5712.334953
05-01-2023,North America,Smartphones,Model D,33,144.7191677,4775.732534
05-01-2023,North America,Laptops,Laptop A,143,1302.109249,186201.6226
05-01-2023,North America,Laptops,Laptop B,182,1469.878827,267517.9465
05-01-2023,North America,Laptops,Laptop C,70,822.6863883,57588.04718
05-01-2023,North America,Tablets,Tablet A,84,516.6206655,43396.1359
05-01-2023,North America,Tablets,Tablet B,79,751.4694292,59366.0849
05-01-2023,North America,Tablets,Tablet C,40,532.3125706,21292.50283
05-01-2023,North America,Tablets,Tablet D,24,245.2607283,5886.257478
05-01-2023,North America,Wearables,Smartwatch A,66,144.4097957,9531.046518
05-01-2023,North America,Wearables,Smartwatch B,33,94.17409203,3107.745037
05-01-2023,North America,Wearables,Fitness Tracker,20,144.133712,2882.67424
05-01-2023,Europe,Smartphones,Model A,3,280.2316021,840.6948063
05-01-2023,Europe,Smartphones,Model B,11,156.1926379,1718.119017
05-01-2023,Europe,Smartphones,Model C,32,111.5727796,3570.328946
05-01-2023,Europe,Smartphones,Model D,38,191.1313506,7262.991321
05-01-2023,Europe,Laptops,Laptop A,165,835.6600648,137883.9107
05-01-2023,Europe,Laptops,Laptop B,131,688.1211597,90143.87192
05-01-2023,Europe,Laptops,Laptop C,99,888.268384,87938.57001
05-01-2023,Europe,Tablets,Tablet A,64,550.1936671,35212.3947
05-01-2023,Europe,Tablets,Tablet B,96,416.2070571,39955.87748
05-01-2023,Europe,Tablets,Tablet C,68,471.9445081,32092.22655
05-01-2023,Europe,Tablets,Tablet D,67,521.6578198,34951.07393
05-01-2023,Europe,Wearables,Smartwatch A,436,111.6810081,48692.91955
05-01-2023,Europe,Wearables,Smartwatch B,480,152.7096759,73300.64442
05-01-2023,Europe,Wearables,Fitness Tracker,432,69.97776878,30230.39611
05-01-2023,Asia Pacific,Smartphones,Model A,35,264.5074486,9257.7607
05-01-2023,Asia Pacific,Smartphones,Model B,18,183.3278115,3299.900608
05-01-2023,Asia Pacific,Smartphones,Model C,5,222.6830392,1113.415196
05-01-2023,Asia Pacific,Smartphones,Model D,2,116.549684,233.099368
05-01-2023,Asia Pacific,Laptops,Laptop A,39,1366.06389,53276.49169
05-01-2023,Asia Pacific,Laptops,Laptop B,118,664.8342611,78450.44281
05-01-2023,Asia Pacific,Laptops,Laptop C,42,1277.602284,53659.29592
05-01-2023,Asia Pacific,Tablets,Tablet A,22,792.3656776,17432.04491
05-01-2023,Asia Pacific,Tablets,Tablet B,53,426.043382,22580.29924
05-01-2023,Asia Pacific,Tablets,Tablet C,30,428.534514,12856.03542
05-01-2023,Asia Pacific,Tablets,Tablet D,90,697.4985324,62774.86792
05-01-2023,Asia Pacific,Wearables,Smartwatch A,196,175.7493057,34446.86392
05-01-2023,Asia Pacific,Wearables,Smartwatch B,117,55.52328015,6496.223777
05-01-2023,Asia Pacific,Wearables,Fitness Tracker,404,52.05079472,21028.52107
05-01-2023,Latin America,Smartphones,Model A,6,238.3428794,1430.057277
05-01-2023,Latin America,Smartphones,Model B,5,299.9435347,1499.717673
05-01-2023,Latin America,Smartphones,Model C,38,282.6331505,10740.05972
05-01-2023,Latin America,Smartphones,Model D,23,253.797483,5837.34211
05-01-2023,Latin America,Laptops,Laptop A,174,1257.081202,218732.1292
05-01-2023,Latin America,Laptops,Laptop B,92,747.3481017,68756.02536
05-01-2023,Latin America,Laptops,Laptop C,87,705.0453285,61338.94358
05-01-2023,Latin America,Tablets,Tablet A,5,772.4306164,3862.153082
05-01-2023,Latin America,Tablets,Tablet B,81,324.3365894,26271.26374
05-01-2023,Latin America,Tablets,Tablet C,69,603.0204106,41608.40833
05-01-2023,Latin America,Tablets,Tablet D,36,228.1378807,8212.963704
05-01-2023,Latin America,Wearables,Smartwatch A,114,67.03363883,7641.834827
05-01-2023,Latin America,Wearables,Smartwatch B,173,124.724778,21577.38659
05-01-2023,Latin America,Wearables,Fitness Tracker,457,165.8477588,75792.42575
05-01-2023,Middle East & Africa,Smartphones,Model A,12,263.277147,3159.325765
05-01-2023,Middle East & Africa,Smartphones,Model B,44,212.1875943,9336.25415
05-01-2023,Middle East & Africa,Smartphones,Model C,30,258.3635679,7750.907037
05-01-2023,Middle East & Africa,Smartphones,Model D,17,126.8030457,2155.651777
05-01-2023,Middle East & Africa,Laptops,Laptop A,56,920.5357787,51550.00361
05-01-2023,Middle East & Africa,Laptops,Laptop B,94,1139.361357,107099.9676
05-01-2023,Middle East & Africa,Laptops,Laptop C,84,712.9641615,59888.98957
05-01-2023,Middle East & Africa,Tablets,Tablet A,42,570.3582273,23955.04554
05-01-2023,Middle East & Africa,Tablets,Tablet B,42,564.8527097,23723.81381
05-01-2023,Middle East & Africa,Tablets,Tablet C,86,435.3464271,37439.79273
05-01-2023,Middle East & Africa,Tablets,Tablet D,95,254.6012546,24187.11919
05-01-2023,Middle East & Africa,Wearables,Smartwatch A,327,132.116946,43202.24135
05-01-2023,Middle East & Africa,Wearables,Smartwatch B,491,186.5706918,91606.20965
05-01-2023,Middle East & Africa,Wearables,Fitness Tracker,49,143.313005,7022.337247
06-01-2023,North America,Smartphones,Model A,17,289.9041247,4928.37012
06-01-2023,North America,Smartphones,Model B,4,191.8693616,767.4774464
06-01-2023,North America,Smartphones,Model C,17,198.4232586,3373.195396
06-01-2023,North America,Smartphones,Model D,20,191.8271512,3836.543025
06-01-2023,North America,Laptops,Laptop A,43,1120.805684,48194.64443
06-01-2023,North America,Laptops,Laptop B,135,1133.400854,153009.1153
06-01-2023,North America,Laptops,Laptop C,124,1037.263417,128620.6637
06-01-2023,North America,Tablets,Tablet A,27,276.8275034,7474.342591
06-01-2023,North America,Tablets,Tablet B,99,440.1802933,43577.84904
06-01-2023,North America,Tablets,Tablet C,20,584.5248469,11690.49694
06-01-2023,North America,Tablets,Tablet D,8,407.40037,3259.20296
06-01-2023,North America,Wearables,Smartwatch A,214,181.1476407,38765.59512
06-01-2023,North America,Wearables,Smartwatch B,174,150.1336608,26123.25698
06-01-2023,North America,Wearables,Fitness Tracker,453,140.2903093,63551.51013
06-01-2023,Europe,Smartphones,Model A,19,264.3581274,5022.80442
06-01-2023,Europe,Smartphones,Model B,18,155.7180678,2802.925221
06-01-2023,Europe,Smartphones,Model C,22,117.7405068,2590.291149
06-01-2023,Europe,Smartphones,Model D,1,206.8847007,206.8847007
